modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0.2,2025-08-27T00:00:00.200000000+02:00,JF-17 4x SD-10 2x PL-5II,8024.1765133231,10666.180551447,372003.10984729,0.00026994870859198,1.5696716308594,9.2011767094391e-08,10666.190429688,138.85165405273,77.339688035033,499.86595458984,278.42287692612,-1.6924452781677,0.71385514736176,0.068148463964462,-0.024063406512141,2.1415392836843e-07,0.46788652028769,0.99999934434891,0.71365265192899,0,71.365264892578,0,0.71365265192899,0,0,0,0,0.71365265192899,0,
0.2,2025-08-27T00:00:00.200000000+02:00,JF-17 4x SD-10 2x PL-5II,8024.2077423585,10665.653943575,372030.8736185,0.0033661667257547,1.5696716308594,5.5809823606978e-07,10665.661132812,138.84536743164,77.338788063012,499.84332275391,278.41963702684,-3.4838042259216,1.6306411027908,0.12904435396194,-0.015291853807867,3.6163154248925e-08,0.4678618405467,0.99999779462814,0.73014812481015,0,73.01481628418,0,0.73014812481015,0,0,0,0,0.73014812481015,0,
0.4,2025-08-27T00:00:00.400000000+02:00,JF-17 4x SD-10 2x PL-5II,8024.2389644505,10664.787009297,372058.63129728,0.0098919030278921,1.5696716308594,2.3209695427795e-06,10664.807617188,138.87464904785,77.359334265608,499.94873657227,278.49360335619,-5.1207213401794,2.67990899086,0.18562935292721,-0.0048390766605735,-6.7614095655699e-08,0.46795510881131,0.99999535083771,0.7449830352528,0,74.49829864502,0,0.7449830352528,0,0,0,0,0.7449830352528,0,
0.6,2025-08-27T00:00:00.600000000+02:00,JF-17 4x SD-10 2x PL-5II,8024.2701834475,10663.602476323,372086.38645007,0.019990261644125,1.5696716308594,6.2289986999531e-06,10663.642578125,138.93522644043,77.398846998771,500.16681518555,278.63584919557,-6.6284737586975,3.8799250125885,0.26166421175003,0.0086701745167375,-1.2622922440642e-06,0.46815170220415,0.9999920129776,0.7594953962585,0,75.94953918457,0,0.7594953962585,0,0,0,0,0.7594953962585,0,
0.8,2025-08-27T00:00:00.800000000+02:00,JF-17 4x SD-10 2x PL-5II,8024.301403355,10662.130246927,372114.14293932,0.033603191375732,1.5696716308594,1.3142793250154e-05,10662.146484375,139.0244140625,77.455927487828,500.487890625,278.84133895618,-8.01344871521,5.2297143936157,0.35038706660271,0.024330338463187,-1.7241071645913e-06,0.46844251638682,0.99998730421066,0.77446934458757,0,77.446929931641,0,0.77446934458757,0,0,0,0,0.77446934458757,0,
1,2025-08-27T00:00:01.000000000+02:00,JF-17 4x SD-10 2x PL-5II,8024.3326276938,10660.404120208,372141.90458475,0.044361524283886,1.5696711540222,2.2026961232768e-05,10660.440429688,139.13185119629,77.524235273898,500.87466430664,279.08724698603,-9.1927423477173,6.3301439285278,0.42444270849228,0.041055366396904,-1.1101682275694e-06,0.46879348592104,0.99998152256012,0.78908437856203,0,78.90843963623,0,0.78908437856203,0,0,0,0,0.78908437856203,0,
1.2,2025-08-27T00:00:01.200000000+02:00,JF-17 4x SD-10 2x PL-5II,8024.3638588629,10658.452269824,372169.67524091,0.047102507203817,1.5696711540222,3.0141227398417e-05,10658.513671875,139.25842285156,77.604302271573,501.33032226562,279.37548817766,-10.260455131531,6.9241127967834,0.46502864360809,0.053524319082499,-2.1427774754557e-06,0.46920743933554,0.99997437000275,0.80377800194035,0,80.377799987793,0,0.80377800194035,0,0,0,0,0.80377800194035,0,
1.4,2025-08-27T00:00:01.400000000+02:00,JF-17 4x SD-10 2x PL-5II,8024.3950997084,10656.290732811,372197.45864733,0.044040501117706,1.5696706771851,3.5206467146054e-05,10656.313476562,139.41371154785,77.701734500069,501.88936157227,279.72624420025,-11.306113243103,7.1749920845032,0.48271265625954,0.06414619833231,-5.391228114604e-06,0.46971626777459,0.99996566772461,0.81898403764889,0,81.898406982422,0,0.81898403764889,0,0,0,0,0.81898403764889,0,
1.6,2025-08-27T00:00:01.600000000+02:00,JF-17 4x SD-10 2x PL-5II,8024.4263544684,10653.928126942,372225.25886744,0.043693378567696,1.5696702003479,3.6574416299118e-05,10653.977539062,139.58984375,77.811493586812,502.5234375,280.12137691252,-12.282119750977,7.5512685775757,0.50837755203247,0.075918562710285,-5.2391874305613e-06,0.47029447924477,0.99995571374893,0.83379119033225,0,83.379119873047,0,0.83379119033225,0,0,0,0,0.83379119033225,0,
1.8,2025-08-27T00:00:01.800000000+02:00,JF-17 4x SD-10 2x PL-5II,8024.4576278693,10651.37529978,372253.08014416,0.048713549971581,1.5696702003479,3.63386097888e-05,10651.454101562,139.78668212891,77.933762969126,503.23205566406,280.56154668885,-13.188328742981,8.2047653198242,0.55201333761215,0.090778075158596,-6.6897105170938e-06,0.47094117729933,0.99994403123856,0.84862927483643,0,84.862930297852,0,0.84862927483643,0,0,0,0,0.84862927483643,0,
